[INFO ] [2022-03-03 00:46:49,353] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 15:25:25,915] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 15:25:26,506] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 15:25:26,760] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 15:25:26,943] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 15:25:27,874] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 15:25:28,093] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 15:25:28,885] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 15:25:34,429] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 15:25:34,631] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 15:25:34,730] Home Page - Step 03: Verify order value displayed
[INFO ] [2022-03-03 15:29:29,368] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 15:29:30,002] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 15:29:30,619] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 15:29:31,133] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 15:29:31,397] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 15:29:31,650] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 15:29:33,219] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 15:29:43,531] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 15:29:44,157] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 15:29:44,395] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 15:29:44,964] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 15:29:45,224] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 15:29:45,453] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 15:29:46,458] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 15:29:46,654] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 15:29:47,503] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 15:29:53,119] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 15:29:53,377] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 15:29:53,525] Home Page - Step 03: Verify order value displayed
[INFO ] [2022-03-03 15:33:17,126] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 15:33:17,551] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 15:33:17,974] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 15:33:18,223] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 15:33:18,410] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 15:33:18,550] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 15:33:19,722] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 15:33:30,052] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 15:33:30,546] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 15:33:30,722] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 15:33:31,923] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 15:33:32,074] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 15:33:32,199] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 15:33:33,104] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 15:33:33,437] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 15:33:34,177] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 15:33:39,554] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 15:33:39,772] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 15:33:39,838] Home Page - Step 03: Verify order value displayed
[INFO ] [2022-03-03 15:45:51,640] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 15:45:52,166] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 15:45:52,686] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 15:45:53,108] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 15:45:53,315] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 15:45:53,441] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 15:45:55,015] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 15:46:05,304] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 15:46:05,823] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 15:46:05,999] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 15:46:07,048] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 15:46:07,205] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 15:46:07,372] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 15:46:08,353] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 15:46:08,541] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 15:46:09,384] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 15:46:14,801] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 15:46:15,037] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 15:46:15,103] Home Page - Step 03: Verify the quantity of product is displayed correctly
[INFO ] [2022-03-03 15:46:15,172] Home Page - Step 04: Verify the price of product is displayed correctly
[INFO ] [2022-03-03 15:46:15,228] Home Page - Step 05: Verify the price total of product is displayed correctly
[INFO ] [2022-03-03 15:46:15,320] Home Page - Step 06: Verify the order value is displayed correctly
[INFO ] [2022-03-03 15:46:15,433] Home Page - Step 07: Verify the items subtotal is displayed correctly
[INFO ] [2022-03-03 16:22:15,067] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 16:22:15,819] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 16:22:16,277] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 16:22:16,665] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 16:22:16,813] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 16:22:16,971] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 16:22:18,306] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 16:22:28,582] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 16:22:29,246] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 16:22:29,479] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 16:22:30,089] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 16:22:30,377] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 16:22:30,737] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 16:22:31,542] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 16:22:31,698] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 16:22:32,537] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 16:22:38,099] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 16:22:38,279] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 16:22:38,340] Home Page - Step 03: Verify the quantity of product is displayed correctly
[INFO ] [2022-03-03 16:22:38,404] Home Page - Step 04: Verify the price of product is displayed correctly
[INFO ] [2022-03-03 16:22:38,457] Home Page - Step 05: Verify the price total of product is displayed correctly
[INFO ] [2022-03-03 16:22:38,550] Home Page - Step 06: Verify the order value is displayed correctly
[INFO ] [2022-03-03 16:22:38,670] Home Page - Step 07: Verify the items subtotal is displayed correctly
[INFO ] [2022-03-03 16:22:38,789] Home Page - Step 08: Verify the small order surcharge is displayed correctly
[INFO ] [2022-03-03 16:22:38,849] Home Page - Step 09: Verify the logistics surcharge is displayed correctly
[INFO ] [2022-03-03 16:22:38,901] Home Page - Step 10: Verify the last total price is displayed correctly
[INFO ] [2022-03-03 17:26:30,924] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 17:26:31,616] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 17:26:32,178] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 17:26:32,582] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 17:26:32,904] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 17:26:33,091] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 17:26:34,543] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 17:26:44,891] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 17:26:45,637] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 17:26:45,842] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 17:26:46,700] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 17:26:46,929] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 17:26:47,097] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 17:26:48,033] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 17:26:48,264] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 17:26:49,016] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 17:26:54,544] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 17:26:54,720] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 17:26:54,797] Home Page - Step 03: Verify the quantity of product is displayed correctly
[INFO ] [2022-03-03 17:26:54,864] Home Page - Step 04: Verify the price of product is displayed correctly
[INFO ] [2022-03-03 17:26:54,931] Home Page - Step 05: Verify the price total of product is displayed correctly
[INFO ] [2022-03-03 17:26:55,043] Home Page - Step 06: Verify the order value is displayed correctly
[INFO ] [2022-03-03 17:26:55,156] Home Page - Step 07: Verify the items subtotal is displayed correctly
[INFO ] [2022-03-03 17:26:55,278] Home Page - Step 08: Verify the small order surcharge is displayed correctly
[INFO ] [2022-03-03 17:26:55,356] Home Page - Step 09: Verify the logistics surcharge is displayed correctly
[INFO ] [2022-03-03 17:26:55,417] Home Page - Step 10: Verify the last total price is displayed correctly
[INFO ] [2022-03-03 17:27:00,718] Home Page - Step 01: Click on Cart button
[INFO ] [2022-03-03 17:27:00,940] Cart Page - Step 02: Verify the cart page is displayed
[INFO ] [2022-03-03 17:27:01,878] Cart Page - Step 03: Verify the text in pod express items is displayed
[INFO ] [2022-03-03 17:27:01,942] Home Page - Step 03: Verify the brand name is displayed correctly
[INFO ] [2022-03-03 17:27:01,997] Home Page - Step 03: Verify the brand name is displayed correctly
[INFO ] [2022-03-03 23:08:52,420] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 23:08:52,941] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 23:08:53,478] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 23:08:53,799] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 23:08:54,185] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 23:08:54,344] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 23:08:55,529] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 23:09:05,878] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 23:09:06,452] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 23:09:06,623] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 23:09:07,303] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 23:09:07,481] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 23:09:07,758] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 23:09:08,679] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 23:09:08,854] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 23:09:09,781] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 23:09:15,174] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 23:09:15,365] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 23:09:15,466] Home Page - Step 03: Verify the quantity of product is displayed correctly
[INFO ] [2022-03-03 23:09:15,535] Home Page - Step 04: Verify the price of product is displayed correctly
[INFO ] [2022-03-03 23:09:15,596] Home Page - Step 05: Verify the price total of product is displayed correctly
[INFO ] [2022-03-03 23:09:15,698] Home Page - Step 06: Verify the order value is displayed correctly
[INFO ] [2022-03-03 23:09:15,835] Home Page - Step 07: Verify the items subtotal is displayed correctly
[INFO ] [2022-03-03 23:09:15,978] Home Page - Step 08: Verify the small order surcharge is displayed correctly
[INFO ] [2022-03-03 23:09:16,037] Home Page - Step 09: Verify the logistics surcharge is displayed correctly
[INFO ] [2022-03-03 23:09:16,089] Home Page - Step 10: Verify the last total price is displayed correctly
[INFO ] [2022-03-03 23:09:21,384] Home Page - Step 01: Click on Cart button
[INFO ] [2022-03-03 23:09:21,566] Cart Page - Step 02: Verify the cart page is displayed
[INFO ] [2022-03-03 23:09:22,049] Cart Page - Step 03: Verify the text in pod express items is displayed
[INFO ] [2022-03-03 23:09:22,109] Home Page - Step 03: Verify the brand name is displayed correctly
[INFO ] [2022-03-03 23:09:22,175] Home Page - Step 03: Verify the brand name is displayed correctly
[INFO ] [2022-03-03 23:12:20,816] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 23:12:21,301] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 23:12:21,845] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 23:12:22,090] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 23:12:22,608] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 23:12:22,807] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 23:12:24,274] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 23:12:34,599] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 23:12:35,062] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 23:12:35,217] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 23:12:36,082] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 23:12:36,220] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 23:12:36,354] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 23:12:37,247] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 23:12:37,373] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 23:12:38,173] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 23:12:43,639] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 23:12:43,816] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 23:12:43,885] Home Page - Step 03: Verify the quantity of product is displayed correctly
[INFO ] [2022-03-03 23:12:43,961] Home Page - Step 04: Verify the price of product is displayed correctly
[INFO ] [2022-03-03 23:12:44,019] Home Page - Step 05: Verify the price total of product is displayed correctly
[INFO ] [2022-03-03 23:12:44,120] Home Page - Step 06: Verify the order value is displayed correctly
[INFO ] [2022-03-03 23:12:44,252] Home Page - Step 07: Verify the items subtotal is displayed correctly
[INFO ] [2022-03-03 23:12:44,466] Home Page - Step 08: Verify the small order surcharge is displayed correctly
[INFO ] [2022-03-03 23:12:44,535] Home Page - Step 09: Verify the logistics surcharge is displayed correctly
[INFO ] [2022-03-03 23:12:44,589] Home Page - Step 10: Verify the last total price is displayed correctly
[INFO ] [2022-03-03 23:12:50,003] Home Page - Step 01: Click on Cart button
[INFO ] [2022-03-03 23:12:50,179] Cart Page - Step 02: Verify the cart page is displayed
[INFO ] [2022-03-03 23:12:51,309] Cart Page - Step 03: Verify the text in pod express items is displayed
[INFO ] [2022-03-03 23:12:51,367] Home Page - Step 03: Verify the brand name is displayed correctly
[INFO ] [2022-03-03 23:12:51,451] Home Page - Step 03: Verify the brand name is displayed correctly
[INFO ] [2022-03-03 23:23:19,568] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 23:23:20,165] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 23:23:20,861] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 23:23:21,395] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 23:23:21,612] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 23:23:21,761] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 23:23:23,248] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 23:23:33,493] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 23:23:34,235] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 23:23:34,400] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 23:23:35,018] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 23:23:35,177] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 23:23:35,398] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 23:23:36,333] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 23:23:36,476] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 23:23:37,357] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 23:23:42,944] Home Page - Step 01: Hover to Cart icon
